source_id,edition_id,author,work,source_type,language,approx_date,editor,publisher,year,volume_info,local_file,external_reference,notes,status
SRC-HAD-BUK,SRC-HAD-BUK-E01,"Muḥammad b. Ismāʿīl al-Bukhārī","al-Jāmiʿ al-Ṣaḥīḥ (Ṣaḥīḥ al-Bukhārī)","hadith","Arabic","3rd/9th c.","Muḥammad Zuhayr b. Nāṣir al-Nāṣir","Dār Ṭawq al-Najāh","1422 AH","9 vols.","","user-supplied component scans verified","Preferred edition verified from title page/front matter. User supplied exact-edition main text from beginning through hadith 6860 (vols. 1-8) plus front matter. Exact-edition volume 9 remains to be supplied; historical Būlāq vol. 9 is registered separately as E03.","EDITION-VERIFIED-VOLS1-8"
SRC-HAD-MUS,SRC-HAD-MUS-E01,"Muslim b. al-Ḥajjāj","al-Musnad al-Ṣaḥīḥ (Ṣaḥīḥ Muslim)","hadith","Arabic","3rd/9th c.","Muḥammad Fuʾād ʿAbd al-Bāqī","Dār Iḥyāʾ al-Turāth al-ʿArabī","n.d.","5 vols.","","digital metadata verified","Standard numbered edition. Editor's introduction dated 1374 AH/1954; exact title-page publication date should be verified from scan.","LOCKED-PENDING-SCAN"
SRC-HAD-AHM,SRC-HAD-AHM-E01,"Aḥmad b. Ḥanbal","Musnad al-Imām Aḥmad b. Ḥanbal","hadith","Arabic","3rd/9th c.","Shuʿayb al-Arnaʾūṭ; ʿĀdil Murshid; et al.; supervised by ʿAbd Allāh al-Turkī","Muʾassasat al-Risālah","1421 AH / 2001","multi-volume critical edition; volume 5 user copy verified","","user-supplied vol. 5 verified","Volume 5 directly verified from scan. It contains hadith 2784 in the Ibn ʿAbbās musnad. Editorial note there: report ṣaḥīḥ li-ghayrihi; this isnād ḥasan. Full multi-volume set still pending.","EDITION-VERIFIED-VOL5"
SRC-HAD-ABD,SRC-HAD-ABD-E01,"Abū Dāwūd al-Sijistānī","Sunan Abī Dāwūd","hadith","Arabic","3rd/9th c.","Shuʿayb al-Arnaʾūṭ; Muḥammad Kāmil Qarah Ballī","Dār al-Risālah al-ʿĀlamiyyah","1430 AH / 2009","7-volume numbering; online set split into 7 text volumes plus front matter","","Waqfeya exact edition scan located","Complete online scan located. Hadith 4510–4512 fall in volume 6 (hadith 3855–4595), not volume 4. Preserve edition volume/page/hadith numbering.","ONLINE-SCAN-VERIFIED"
SRC-SIR-HIS,SRC-SIR-HIS-E01,"ʿAbd al-Malik b. Hishām","al-Sīrah al-Nabawiyyah","sirah","Arabic","3rd/9th c.","Muṣṭafā al-Saqqā; Ibrāhīm al-Abyārī; ʿAbd al-Ḥafīẓ Shalabī","Muṣṭafā al-Bābī al-Ḥalabī","1955","2 vols.; 1624 pp.","","NYU ACO + Waqfeya exact scan","Exact 1955 edition located online in complete scan; ACO metadata gives Cairo publisher/date and Waqfeya gives 2 vols./1624 pp. Earlier 1936 printing also digitized.","ONLINE-SCAN-VERIFIED"
SRC-MAG-WAQ,SRC-MAG-WAQ-E01,"Muḥammad b. ʿUmar al-Wāqidī","Kitāb al-Maghāzī","maghazi","Arabic","2nd-3rd/8th-9th c.","Marsden Jones","Oxford University Press","1966","3 vols.; xiii + 1321 pp.","","WorldCat/NDL/Google Books metadata","Scholarly reference edition; Arabic text, English preface/bibliography.","LOCKED"
SRC-BIO-SAD,SRC-BIO-SAD-E01,"Muḥammad b. Saʿd","al-Ṭabaqāt al-Kubrā","tabaqat","Arabic","3rd/9th c.","Muḥammad ʿAbd al-Qādir ʿAṭā","Dār al-Kutub al-ʿIlmiyyah","1990-1991","multi-volume","","WorldCat metadata","Useful accessible critical edition; may add older Sachau/Leiden material for textual comparison if needed.","LOCKED-PENDING-SCAN"
SRC-HIS-TAB,SRC-HIS-TAB-E01,"Muḥammad b. Jarīr al-Ṭabarī","Tārīkh al-rusul wa-l-mulūk","chronicle","Arabic","3rd-4th/9th-10th c.","Muḥammad Abū al-Faḍl Ibrāhīm","Dār al-Maʿārif","1387 AH / 1967","2nd ed.; 11 vols. including continuations","","Waqfeya exact edition scan","Complete online scan located with volume ranges; preferred edition for al-Ṭabarī quotation/source-attribution analysis.","ONLINE-SCAN-VERIFIED"
SRC-HAD-BUK,SRC-HAD-BUK-E02,"Muḥammad b. Ismāʿīl al-Bukhārī","al-Jāmiʿ al-Musnad al-Ṣaḥīḥ al-Mukhtaṣar / Ṣaḥīḥ al-Bukhārī","hadith with marginal commentaries","Arabic","3rd/9th c.","publisher's composite edition; includes ḥāshiyahs of al-Sahāranfūrī and al-Sindī","al-Bushrā Welfare and Educational Trust, Karachi","1437 AH / 2016","multi-volume scan combined in one PDF; 3416 PDF pages","","user-uploaded scan verified","New revised edition; cover and publication page verified. PDF SHA-256 c388ad61c2c6783b61a5537a19769e0acb51ceb75a6bbb0d442a0aa9b8e0a9a1. Useful working witness; does not replace E01 as preferred citation edition.","EDITION-VERIFIED-USER-COPY"
SRC-HAD-MUS,SRC-HAD-MUS-E02,"Muslim b. al-Ḥajjāj","Ṣaḥīḥ Muslim / al-Musnad al-Ṣaḥīḥ","hadith with editorial numbering and notes","Arabic","3rd/9th c.","Muḥammad Fuʾād ʿAbd al-Bāqī","Dār Iḥyāʾ al-Kutub al-ʿArabiyyah, ʿĪsā al-Bābī al-Ḥalabī wa-Shurakāʾ; distributed by Dār al-Kutub al-ʿIlmiyyah, Beirut","1412 AH / 1991","multi-volume scan combined in one PDF; 2933 PDF pages","","user-uploaded scan verified","First edition; title page and copyright page verified. PDF SHA-256 27462af65376307a50344ab9994e345427c375fbedf4791d6d71457bbcbbb35f. Useful working witness; does not replace E01 as preferred citation edition.","EDITION-VERIFIED-USER-COPY"
