claim_id,incident_id,claim_text,claim_type,scope,source_ids,edition_ids,explicit_or_inferred,transmission_family,SP,II,MI,CO,IN,VS,CF,GR,AR,PL,RR,EC,weighted_score,confidence_class,modifiers,narrative_permission,status,decision_log_ref
CLM-007-001,INC-007,"Poisoned sheep/meat was presented to Muhammad in the Khaybar context",E,core,"SRC-BUK;SRC-MUS;SRC-AHM;SRC-ABD;SRC-SIR-ISH",PENDING,explicit,multiple,8.5,9.0,9.5,9.8,8.5,9.5,9.8,8.5,9.5,10,9,9.5,92.3,H1,provisional,NP-1,provisional,DEC-2026-002
CLM-007-002,INC-007,"Muhammad ate/tasted from the poisoned sheep",A,core,"SRC-BUK;SRC-MUS;SRC-ABD;SRC-SIR-ISH",PENDING,explicit,multiple,8.5,9.0,9.4,9.4,8.2,9.2,9.8,8.5,9.5,10,9,9.2,91.0,H1,provisional,NP-1,provisional,DEC-2026-002
CLM-007-003,INC-007,"The poisoning was deliberate and intended to kill or eliminate Muhammad",I,core,"SRC-MUS;SRC-BUK;SRC-AHM",PENDING,explicit,multiple,8.5,8.8,9.0,9.2,8.0,8.8,9.5,8.5,9.0,10,8.5,9.0,88.6,H1,provisional,NP-1,provisional,DEC-2026-002
CLM-007-004,INC-007,"The perpetrator is described in multiple early reports as a Jewish woman",N,core,"SRC-BUK;SRC-MUS;SRC-AHM;SRC-ABD",PENDING,explicit,multiple,8.3,9.0,9.5,9.0,8.0,9.0,9.5,8.5,9.0,10,8.5,9.0,89.1,H1,provisional,NP-1,provisional,DEC-2026-002
CLM-007-005,INC-007,"The woman was Zaynab bint al-Harith",N,detail,"SRC-SIR-ISH;SRC-MAG-ZUHRI",PENDING,explicit,sirah-maghazi,7.8,6.5,8.0,6.5,5.5,7.5,9.0,7.0,8.0,10,7.0,7.5,73.3,H3,provisional,NP-2,provisional,DEC-2026-002
CLM-007-006,INC-007,"Bishr ibn al-Bara died after eating from the poisoned sheep",C,detail,"SRC-ABD;SRC-SIR-ISH;SRC-TABRANI;SRC-HAKIM",PENDING,explicit,multiple,8.0,7.7,8.2,7.8,6.8,8.0,9.0,7.8,8.5,10,7.5,8.0,80.1,H2,provisional,NP-2,provisional,DEC-2026-002
CLM-007-007,INC-007,"Muhammad initially declined the companions' proposal to kill the woman",A,detail,"SRC-BUK;SRC-MUS",PENDING,explicit,Anas-Hisham-Shubah,8.5,9.0,9.0,7.5,6.0,9.0,9.0,8.5,9.0,10,8.5,8.5,84.2,H2,provisional,NP-2,provisional,DEC-2026-002
CLM-007-008,INC-007,"The woman was later executed after Bishr's death",A,detail,"SRC-ABD;SRC-TABRANI;SRC-HAKIM",PENDING,explicit,AbuSalama-family,7.5,7.2,7.5,7.0,6.0,5.5,8.5,7.5,8.0,10,6.8,6.0,72.3,H3,provisional,NP-3,provisional,DEC-2026-002
CLM-007-009,INC-007,"During his final illness Muhammad reportedly connected continuing pain to the food eaten at Khaybar",Q,detail,"SRC-BUK;SRC-BAZZAR;SRC-HAKIM;SRC-BAYHAQI",PENDING,explicit,Aisha-Urwa-Zuhri-Yunus,8.0,8.0,8.5,7.0,6.0,8.5,9.0,8.0,9.0,9.0,8.0,8.0,79.4,H2,provisional,NP-2,provisional,DEC-2026-002
CLM-007-010,INC-007,"The Khaybar poison was the direct medical cause of Muhammad's death years later",C,interpretation,"SRC-BUK;SRC-ABD;SRC-SIR-ISH",PENDING,inferred,multiple,5.0,6.0,5.0,3.0,3.0,5.0,4.0,5.0,6.0,4.0,5.0,3.0,45.3,H5,medical-causation-open,NP-4,provisional,DEC-2026-002
